news_id,category,subcategory,title,abstract
N2415,autos,autosclassics,Low-Mileage Porsche 944 Is A Museum Find,This unloved Porsche is now a pristine masterpiece.
N6958,travel,travelarticle,Downtown street closures you should know about before the weekend,Streets will close to traffic in downtown Cincinnati this weekend in order for workers to remove a tower crane on Eighth Street.
N27863,news,factcheck,Debunking 4 Viral Rumors About the Bidens and Ukraine,"Accusations that President Trump shaped American policy toward Ukraine for his own political gain exploded into a crisis for the White House in September after a whistle-blower complaint. Lawmakers have been examining how Mr. Trump pushed the Ukrainians to investigate the hacking of the Democratic National Committee in 2016 and former Vice President Joseph R. Biden Jr. and his son Hunter, a lawyer and former lobbyist. Those questions are now at..."
N37931,movies,movies-celebrity,Keanu Reeves and Girlfriend Alexandra Grant 'Have Been Dating for Years',Keanu Reeves and Girlfriend Alexandra Grant 'Have Been Dating for Years'
N29682,weather,weathertopstories,'Sundowner' winds could fan flames in Southern California,"Strong northerly winds, known as 'sundowners,' will create an extended period of high fire danger over a large part of Southern California. The winds and the fire risk will continue through Sunday night and can be strongest in some cases during the evening and overnight hours. ""Dry, warm air accompanying the winds will add significantly to the fire threat by making brush more flammable,"" according to AccuWeather Meteorologist Courtney Travis...."
N57876,tv,tvnews,First female to become commander of 178th Wing of Ohio National Guard,"For the first time in the history of the 178th Wing of the Ohio National Guard, a female will become a commander. Col. Kimberly A. Fitzgerald will assume the duties of commander of the 178th Wing in a ceremony on Nov. 3 at the Springfield Air National Guard Base. The current commander of the 178th Wing is Col. Gregg J. Hesterman while Fitzgerald is the current vice commander. She has a career spanning 26 years, including more than 4,000 flight..."
N2311,news,newsus,Special Report: House votes to pass impeachment resolution,The House of Representatives has voted to pass a resolution to outline impeachment proceedings against President Trump. NBC News' team of reporters breaks down the vote and what the next steps are in the impeachment inquiry.
N58232,movies,movies-celebrity,John Krasinski Shares the Secret to His 9-Year Marriage to Emily Blunt,"John Krasinski talked to E! News exclusively about how he and Emily Blunt, who share two daughters, maintain a healthy work-life balance."
N10296,news,newsworld,Cincinnati police seek suspect in North Avondale Metro bus shooting of 21-year-old,"Police are asking for help finding Jamel Williams, a suspect in the Aug. 17 fatal shooting of Neko Larkin aboard a Metro bus in Cincinnati."
N25575,tv,tvnews,York Suburban's undefeated season comes to an end in hard-fought loss,"Looking to win its first district game since 1986, the number one seeded Trojans came up just short losing 27-18 in a hard-fought battle."
N26488,movies,movies-gallery,50 Best Movie Sequels of All Time,A successful film franchise can ensure box office earnings like few other movie offerings can.
N39610,sports,football_nfl,Pittsburgh Steelers Fact or Fiction: Back to Work edition,"After a rare West Coast win and a bye for the Pittsburgh Steelers, BTSC takes five bold statements surrounding the current state of the team and labels them as Fact or Fiction."
N59699,travel,travelarticle,"'Huge Bar' Opens In NoVa, Metro Assault, Best Pizza | News Nearby","The top news in Virginia and D.C. over the past week, including an active winter predicted for our area."
N4695,news,newsus,Florida's building code doesn't take sea rise into account. That could change this year,"The last time the Florida building code changed, it required any new construction along the coast to elevate buildings a whole foot. Just three years later, that doesn't look like enough. There's a call to go up yet another foot. The rising base elevations of homes are a clear sign that - despite waffling political rhetoric from the federal and state level - the people who plan and build in ..."
N62342,video,science,The mysterious case of NASA's missing $1.1 billion moon lander,"In the '60s, NASA commissioned Grumman Aircraft to build 15 lunar modules for its Apollo program. 10 of those lunar modules ended up in space, 3 in museums, 1 was scrapped and 1 is missing. After contacting NASA, the Smithsonian and a host of other sources we eventually track down a potential answer."
N4675,foodanddrink,tipsandtricks,"Here's the Thanksgiving dinner $50 buys you at Aldi, Costco, Walmart and more","Here's a look at how much Thanksgiving dinner you can buy at Aldi, Costco, Trader Joe's, Walmart and Whole Foods without spending more than $50."
N51863,video,peopleandplaces,Naval Academy graduate surprises mom at dinner,This mom had no idea her favorite sailor was about to crash dinner.
N53915,entertainment,gaming,"Blizzard is ""not opposed"" to bringing The Burning Crusade and Lich King expansions to WoW Classic",You are not prepared
N57229,northamerica,northamerica-video,Republicans have floated 17 different defenses of Trump's Ukraine actions,"Since the House formally launched the impeachment inquiry of President Trump, congressional Republicans have floated no fewer than 17 different defenses of his actions on Ukraine."
N39894,travel,travelnews,"Charlton County 911, emergency lines out of service, Board of Commissioners says","The Charlton County 911 phone lines and the non-emergency lines are currently out of service, according to the Charlton County Board of Commissioners."
N52850,news,newspolitics,Schiff accuses Trump of 'witness intimidation',House Intelligence Committee Chairman Adam Schiff issued a veiled threat against President Trump for tweeting about former Ukraine Ambassador Marie Yovanovich as she testified before the panel in Day Two of the public impeachment proceedings.
N49554,foodanddrink,tipsandtricks,How to Make Buttermilk At Home With Just 2 Ingredients,Whipping up a recipe that calls for some buttermilk? No need to run to the store! Here's how to make buttermilk at home in just 10 minutes.
N48616,entertainment,entertainment-books,The Call Me by Your Name Dream Continues,"The follow-up to a beloved novel of gay romance continues André Aciman's exploration of desire that tests convention: ""It's not a subject that has ever interested me, ethics,"" the author says."
N26416,autos,autosownership,How often should I start my car and let it idle in cold weather? Answer: Don't.,"Letting a car idle requires more time for the vehicle to warm up and allows excess fuel to get into the engine, which isn't good for wear and tear."
N39613,video,news,Hateful anti-media video highlights 'empathy gap',"Katie Rogers, Olivia Nuzzi and Matt Lewis discuss the fake-Trump-as-murderer video that made the rounds on social media. ""I think we have an empathy gap,"" Nuzzi says. She posits that Trump hasn't personally condemned vile anti-media video because ""some of his supporters like it, who think it's funny."""
N24377,foodanddrink,newstrends,Homeless Served Rotten Chicken At BK Shelter To File $2M Lawsuits,"Four Fort Greene shelter residents that ended up in the hospital after the city served expired chicken salad will sue, attorneys said."
N38364,weather,weathertopstories,Tropical cyclone possible in Gulf of Mexico later this week; forecast path,"It is not until later Thursday night or Friday that any moisture from this system would stream into parts of the Deep South, AccuWeather said."
N15551,news,newsus,Budget apartments for rent in Downtown Baltimore,Finding a bargain can be a challenge if you're on the hunt for a new spot to live on a budget. So what does the low-end rental price in Downtown look like these days?
N34928,news,newsus,Family Of 4 Displaced After Massive House Fire In Edgewater,Anne Arundel County Fire crews were on the scene of a fire in Edgewater Sunday afternoon.
N59004,foodanddrink,recipes,27 Nearly Forgotten Thanksgiving Recipes,"Remember these vintage Thanksgiving recipes like oyster stuffing, sweet gelatin molds and Cornish game hens? The post 27 Nearly Forgotten Thanksgiving Recipes appeared first on Taste of Home."
